Marca temporal,Antes que nada. Quisieramos preguntarte si autorizas que utilicemos la información de este cuestionario para principalmente organizar los grupos de trabajo y visualizar la red SDCA-LATAM.,En que país resides?,"Cuál es tu afiliación? (en caso de tener más de una, menciona la que consideres más relevante; e.g. steno_diabetes_center_aarhus. Contesta ""ninguna"" en caso de trabajar de manera independiente o no contar con  afiliación a una organización)","Con respecto a la experiencia que tienes haciendo investigación, te consideras: (esta pregunta no se refiere a tu edad, sino a la etapa en tu carrera como investigador (a)) ","En tu trabajo día a día, te dedicas a: (puedes marcar más de una opción)","Si respondiste ""otro"" en la pregunta anterior,  especifica tu respuesta",A cuál equipo de trabajo te gustaría contribuir?,"Si tu respuesta fue ""otro"" en la pregunta anterior, específica el enfoque/tema del equipo de trabajo","Cómo consideras que puedes contribuir a este equipo de trabajo? (e.g. haciendo análisis estadístico, escritura de documentos, expertaje en el tema, manejando/organizando al grupo, facilitando el acceso a fuentes de información, de otra manera, etc.)",Te gustaría liderear el equipo de trabajo?,Cuál es tu expectativa de participar en estos equipos de trabajo? (Qué esperas obtener)
2025/04/04 3:09:24 p. m. EET,Si,Argentina,ninguna,Investigador (a) jóven,Diriges algún programa de diabetes,,Registros de diabetes (con enfoque en diabetes tipo 1),,,Si,"colaboracion, formacion y resultados"
2025/04/04 3:09:36 p. m. EET,Si,Colombia,Ninguna,Investigador (a) experimentado (a),Diriges algún programa de diabetes,,Prevención de diabetes (enfoque en prediabetes),,Estadística experta je ene. Tema  escritura de docuemnto,Si,Aprendes socializar. Innovar
2025/04/04 3:39:37 p. m. EET,Si,Perú,UNIVERSIDAD CIENTIFICA DEL SUR,Investigador (a) experimentado (a),Investigación cuantitativa,,Complicaciones de diabetes,,"Puedo participar en los diferentes procesos que se requieran, incluyendo análisis,  escritura de manuscritos y de propuestas",No,Financiamiento para estudios de intervención
2025/04/04 4:19:57 p. m. EET,Si,Otro,Caja_cordes,Investigador (a) jóven,Proveer atención clínica,,Prevención de diabetes (enfoque en prediabetes),,"Escritura de documento, con ideas",No,"Aprender mas, contribuir con conocimientos aplicados a la práctica para ayudar en la prevención y manejo de pacientes con diabetes mellitus mee gustaria además poder generar lazos y creación de organizaciones para poder ayudar con medicación, contribuir con educación a los pacientes, poder crearse algún tipo de fjndación a nivel internacional. Poder capacitarnos entre todos y actualizarnos constantemente"
2025/04/04 5:55:55 p. m. EET,Si,Otro,Florida International University,Investigador (a) experimentado (a),Investigación cuantitativa,,Prevención de diabetes (enfoque en prediabetes),,"escritura de documentos, expertaje en el tema",Si,Productividad
2025/04/04 6:14:02 p. m. EET,Si,México,Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) Sede Sureste (Chiapas),Investigador (a) jóven,Investigación cualitativa,,Complicaciones de diabetes,,"Tengo información del trabajo de campo del doctorado respecto a las complicaciones crónicas de personas con diabetes tipo 2 en Tuxtla Gutiérrez. Pero actualmente me estoy enfocando más en temas de prácticas alimentarias, así que también podría estar en el equipo de prevención de diabetes.",No,"Contribuir, aprender, trabajar en equipo, unir experiencias e ideas"
2025/04/04 9:08:24 p. m. EET,Si,Perú,NINGUNA,Investigador (a) jóven,Proveer atención clínica,,Complicaciones de diabetes,,"EXPERTAJE DEL TEMA, ESCRITURA DE DOCUMENTOS",Si,ESPERO MEJORAR Y AMPLIFICAR MUCHO MAS LOS AVANCES DEL TRATAMIENTO
2025/04/04 11:43:04 p. m. EET,Si,Colombia,"sreno_dianetes_cebter_aartus, epidiab",Investigador (a) jóven,Otro,"Atencion primaria , educadora en diabetes y ia en salud(tecnologia en salud)",Registros de diabetes (con enfoque en diabetes tipo 1),,"Analisis estadistici, escritura de documentos e imagenes, organizando el grupo",No,Aprender y ayudar en todo lo que pueda
2025/04/05 12:07:21 a. m. EET,Si,Colombia,steno_diabetes_center_aarhus,Investigador (a) jóven,Otro,"Atencion primaria, ia en salud(tecnologia en salud) y arte medico",Registros de diabetes (con enfoque en diabetes tipo 1),,"Haciendo analisis estadistico, escritura de documentos, expertaje del tema, manejo del grupo",No,Aprender y ayudar rodo lo que pueda
2025/04/05 1:41:58 a. m. EET,Si,México,,Investigador (a) experimentado (a),Investigación clínica,,Prevención de diabetes (enfoque en prediabetes),,análisis estadístico,No,
2025/04/05 12:39:31 p. m. EET,Si,Otro,obemet_centro_de_obesidad_y_salud_metabolica,Investigador (a) experimentado (a),Investigación cuantitativa,,Prevención de diabetes (enfoque en prediabetes),,haciendo análisis estadísticos,No,network y publicaciones
2025/04/05 1:47:24 p. m. EET,Si,Argentina,"""ninguna""",Investigador (a) jóven,Otro,Dirijo un servicio de diabetes de un hospital,Prevención de diabetes (enfoque en prediabetes),,facilitando el acceso a fuentes de información,No,"Mantenerme actualizada, fomentar espacios de aprendizaje y compromiso con la salud colectiva"
2025/04/06 2:16:52 a. m. EET,Si,Colombia,Universidad_de_Antioquia,Investigador (a) experimentado (a),Investigación cualitativa,,Registros de diabetes (con enfoque en diabetes tipo 1),,"Experticia en el tema, organización de actividades, análisis, difusión",No,"Tengo experticia, pero no tengo problema se otorgue liderazgo a jóvenes investigadores"
2025/04/07 3:00:57 p. m. EET,Si,Colombia,Asociación latinoamericana de Diabetes : ALAD,Investigador (a) jóven,Proveer atención clínica,Atención en riesgo cardiovascular en general,Prevención de diabetes (enfoque en prediabetes),Riesgo cardiovascular y Obesidad,"Escritura de documentos y Expertaje en el tema, ",No,"Experiencia, visibilidad y publicaciones"
2025/04/09 6:33:25 a. m. EET,Si,México,Universidad_Autonoma_de_Puebla,Investigador (a) jóven,Investigación cuantitativa,,Complicaciones de diabetes,,,Si,"Mi expectativa al participar en estos equipos de trabajo es poder contribuir activamente al intercambio de conocimiento y experiencias sobre la diabetes desde una perspectiva interdisciplinaria. Espero enriquecer mi práctica profesional al aprender de colegas internacionales, conocer avances en investigación y buenas prácticas. Para mi es importante que los vínculos de colaboración permitan desarrollar proyectos conjuntos, con metas alcanzables tales como publicaciones originales o estrategias de “Science implementation” que se pudan ofrecer a tomadores de decisiones."
2025/04/09 5:30:17 p. m. EET,Si,México,universidad_autonoma_de_guadalajara,Investigador (a) experimentado (a),Investigación clínica,,Prevención de diabetes (enfoque en prediabetes),,"escritura de documentos, análisis estadísticos, diseño de estudios, acceso a pacientes",Si,Obtención de financiamiento y elaboración de proyectos multidisciplinarios
2025/04/15 7:46:47 p. m. EET,Si,Perú,Clínica_San_Felipe,Investigador (a) jóven,Proveer atención clínica,Investigación clínica en menor medida,Prevención de diabetes (enfoque en prediabetes),,"Redacción de documentos, búsqueda bibliográfica",No,"Seguir aprendiendo en el desarrollo de investigación de alta calidad, con colegas experimentados y generar lazos profesionales para llevas a cabo estudios relevantes para nuestra región."
2025/04/22 1:39:45 a. m. EET,Si,Argentina,grupo_latinoamericano_de_diabetes,Investigador (a) jóven,Proveer atención clínica,,Complicaciones de diabetes,,"escritura de documentos, manejo y organización de grupo",Si,aporte de datos actualizados y fehacientes para el desarrollo de actividades de prevencion e intervencion en grupos de riesgo
2025/04/23 10:10:32 p. m. EET,Si,Colombia,universidad_de_antioquia,Investigador (a) jóven,Investigación cuantitativa,,Registros de diabetes (con enfoque en diabetes tipo 1),,"Diseño de estudios, Análisis estadístico, Escritura científica, Capacitación",Si,"Estructurar una red solida de colaboradores en Epidemiología de Diabetes tipo 1 en LATAM con proyección académica, investigativa y social"
2025/04/24 9:29:48 a. m. EET,Si,Otro,Luxembourg Institute of Health,Investigador (a) experimentado (a),Investigación clínica,,Registros de diabetes (con enfoque en diabetes tipo 1),Mi interés es diabetes tipo1 y también nuevos marcadores (voz) ,"expertaje en el tema, manejando/organizando al grupo, facilitando el acceso a fuentes de información,",No,Contribuir con mi experiencia en metodología y análisis de datos.
2025/04/25 3:26:22 p. m. EEST,Si,Perú,ninguna,Investigador (a) jóven,Otro,Docente en clases particulares,Prevención de diabetes (enfoque en prediabetes),,"análisis estadístico, redacción de protocolos",No,Aprender a realizar trabajos en equipo y profundizar más sobre lo relacionado a diabetes
2025/04/29 4:36:18 p. m. EEST,Si,Perú,cronicas,Investigador (a) jóven,Otro,Investigación mixta (cuantitativa y cualitativa),Registros de diabetes (con enfoque en diabetes tipo 1),,"Haciendo análisis, escritura, organización u otra necesidad que requiera el equipo ",No,Aprender más sobre sistemas de salud y cómo desde la investigación se puede mejorar 
2025/05/02 12:43:22 a. m. EEST,Si,México,Independiente,Investigador (a) jóven,Proveer atención clínica,,Prevención de diabetes (enfoque en prediabetes),,escritura de documentos,No,Aprender sobre investigación y contribuir al equipo en lo que pueda ayudar
